,%spendhighimprshare,KS,cost,cost_on_high_imprshare,portfolio_id,ports
1012,1.0,KS7166,481.78000831,481.78000831,2634.0,2634.0
1874,1.0,KS7232,477.11000061000004,477.11000061000004,14817.0,14817.0
2489,1.0,KS7232,476.50999929000005,476.50999929000005,16027.0,16027.0
1651,1.0,KS7232,474.50001525999994,474.50001525999994,14136.0,14136.0
2641,1.0,KS7232,471.99000549,471.99000549,16291.0,16291.0
2768,1.0,KS7232,470.36999798000005,470.36999798000005,16517.0,16517.0
2456,1.0,KS6226,470.11000127000005,470.11000127000005,8102.0,8102.0
1653,0.9971704534980753,KS7166,470.04000079,468.71000075,3889.0,3889.0
404,1.0,KS7232,466.28000069,466.28000069,4325.0,4325.0
1158,1.0,KS6173,464.9300033900001,464.9300033900001,4119.0,4119.0
904,1.0,KS6173,462.9700002800001,462.9700002800001,3781.0,3781.0
3786,1.0,KS6226,460.87000681,460.87000681,10820.0,10820.0
42,0.9987326836963996,KS5039,457.66000039,457.08000040999997,758.0,758.0
11,1.0,KS1179,451.9200009200001,451.9200009200001,231.0,231.0
350,1.0,KS1520,448.38000224999996,448.38000224999996,5310.0,5310.0
2539,1.0,KS7232,447.15000559000003,447.15000559000003,16124.0,16124.0
339,1.0,KS6173,446.32999755000003,446.32999755000003,1620.0,1620.0
252,1.0,KS6173,444.68000079,444.68000079,1349.0,1349.0
1935,1.0,KS6226,444.62999858,444.62999858,6554.0,6554.0
3854,1.0,KS7166,443.80000686000005,443.80000686000005,9569.0,9569.0
1551,0.9552026535222694,KS6226,464.09000074000005,443.30000018000004,5429.0,5429.0
1039,1.0,KS6173,439.38000154,439.38000154,3955.0,3955.0
27,1.0,KS1236,438.09000097,438.09000097,168.0,168.0
6956,1.0,KS7166,438.03000469999995,438.03000469999995,15432.0,15432.0
405,1.0,KS3441,435.37999561999993,435.37999561999993,3533.0,3533.0
2460,1.0,KS7166,434.9900012,434.9900012,6928.0,6928.0
750,1.0,KS6173,433.4400019899999,433.4400019899999,3303.0,3303.0
301,0.9735406803068761,KS7166,443.69998572,431.95998595,1157.0,1157.0
645,1.0,KS7232,427.44116211,427.44116211,7927.0,7927.0
491,1.0,KS6173,425.96999884,425.96999884,2341.0,2341.0
132,1.0,KS5014,424.80000188,424.80000188,330.0,330.0
739,1.0,KS5035,424.54000682,424.54000682,6813.0,6813.0
